Consumption (kWh), Start, End, Price
0.242, 2023-08-17T03:00+01:00, 2023-08-17T03:00+01:00, 15.771
0.231, 2023-08-17T03:30+01:00, 2023-08-17T03:30+01:00, 15.771
0.215, 2023-08-17T04:00+01:00, 2023-08-17T04:00+01:00, 16.1805
0.216, 2023-08-17T04:30+01:00, 2023-08-17T04:30+01:00, 15.393
0.247, 2023-08-17T05:00+01:00, 2023-08-17T05:00+01:00, 15.1725
0.208, 2023-08-17T05:30+01:00, 2023-08-17T05:30+01:00, 16.1175
0.216, 2023-08-17T06:00+01:00, 2023-08-17T06:00+01:00, 16.0965
0.213, 2023-08-17T06:30+01:00, 2023-08-17T06:30+01:00, 20.811
0.228, 2023-08-17T07:00+01:00, 2023-08-17T07:00+01:00, 20.244
0.29, 2023-08-17T07:30+01:00, 2023-08-17T07:30+01:00, 24.696
0.278, 2023-08-17T08:00+01:00, 2023-08-17T08:00+01:00, 20.811
0.327, 2023-08-17T08:30+01:00, 2023-08-17T08:30+01:00, 21.3885
0.342, 2023-08-17T09:00+01:00, 2023-08-17T09:00+01:00, 20.1075
0.339, 2023-08-17T09:30+01:00, 2023-08-17T09:30+01:00, 17.577
0.32, 2023-08-17T10:00+01:00, 2023-08-17T10:00+01:00, 18.102
0.278, 2023-08-17T10:30+01:00, 2023-08-17T10:30+01:00, 15.876
0.295, 2023-08-17T11:00+01:00, 2023-08-17T11:00+01:00, 16.0965
0.295, 2023-08-17T11:30+01:00, 2023-08-17T11:30+01:00, 14.994
1.692, 2023-08-17T12:00+01:00, 2023-08-17T12:00+01:00, 16.0965
1.095, 2023-08-17T12:30+01:00, 2023-08-17T12:30+01:00, 14.3745
0.402, 2023-08-17T13:00+01:00, 2023-08-17T13:00+01:00, 15.372
0.37, 2023-08-17T13:30+01:00, 2023-08-17T13:30+01:00, 14.3325
0.737, 2023-08-17T14:00+01:00, 2023-08-17T14:00+01:00, 15.435
0.585, 2023-08-17T14:30+01:00, 2023-08-17T14:30+01:00, 14.7735
0.461, 2023-08-17T15:00+01:00, 2023-08-17T15:00+01:00, 14.7735
0.949, 2023-08-17T15:30+01:00, 2023-08-17T15:30+01:00, 15.897
0.277, 2023-08-17T16:00+01:00, 2023-08-17T16:00+01:00, 27.4365
0.295, 2023-08-17T16:30+01:00, 2023-08-17T16:30+01:00, 30.24
0.276, 2023-08-17T17:00+01:00, 2023-08-17T17:00+01:00, 31.08
0.342, 2023-08-17T17:30+01:00, 2023-08-17T17:30+01:00, 33.327
0.318, 2023-08-17T18:00+01:00, 2023-08-17T18:00+01:00, 34.9125
0.331, 2023-08-17T18:30+01:00, 2023-08-17T18:30+01:00, 35.091
0.318, 2023-08-17T19:00+01:00, 2023-08-17T19:00+01:00, 23.6355
0.28, 2023-08-17T19:30+01:00, 2023-08-17T19:30+01:00, 22.7115
0.253, 2023-08-17T20:00+01:00, 2023-08-17T20:00+01:00, 22.512
0.298, 2023-08-17T20:30+01:00, 2023-08-17T20:30+01:00, 21.8295
0.307, 2023-08-17T21:00+01:00, 2023-08-17T21:00+01:00, 21.8715
0.298, 2023-08-17T21:30+01:00, 2023-08-17T21:30+01:00, 19.803
0.336, 2023-08-17T22:00+01:00, 2023-08-17T22:00+01:00, 18.7005
0.27, 2023-08-17T22:30+01:00, 2023-08-17T22:30+01:00, 16.212
0.223, 2023-08-17T23:00+01:00, 2023-08-17T23:00+01:00, 17.8605
0.244, 2023-08-17T23:30+01:00, 2023-08-17T23:30+01:00, 18.438
0.212, 2023-08-18T00:00+01:00, 2023-08-18T00:00+01:00, 17.4825
0.222, 2023-08-18T00:30+01:00, 2023-08-18T00:30+01:00, 16.0965
0.226, 2023-08-18T01:00+01:00, 2023-08-18T01:00+01:00, 16.0965
0.216, 2023-08-18T01:30+01:00, 2023-08-18T01:30+01:00, 16.0965
0.825, 2023-08-18T02:00+01:00, 2023-08-18T02:00+01:00, 13.986
0.246, 2023-08-18T02:30+01:00, 2023-08-18T02:30+01:00, 14.7315
0.255, 2023-08-18T03:00+01:00, 2023-08-18T03:00+01:00, 14.616
0.205, 2023-08-18T03:30+01:00, 2023-08-18T03:30+01:00, 14.3325
0.22, 2023-08-18T04:00+01:00, 2023-08-18T04:00+01:00, 15.33
0.233, 2023-08-18T04:30+01:00, 2023-08-18T04:30+01:00, 12.9255
0.235, 2023-08-18T05:00+01:00, 2023-08-18T05:00+01:00, 14.8155
0.232, 2023-08-18T05:30+01:00, 2023-08-18T05:30+01:00, 14.553
0.3, 2023-08-18T06:00+01:00, 2023-08-18T06:00+01:00, 15.519
0.276, 2023-08-18T06:30+01:00, 2023-08-18T06:30+01:00, 16.8
0.332, 2023-08-18T07:00+01:00, 2023-08-18T07:00+01:00, 15.855
0.497, 2023-08-18T07:30+01:00, 2023-08-18T07:30+01:00, 22.2285
0.323, 2023-08-18T08:00+01:00, 2023-08-18T08:00+01:00, 18.7425
0.359, 2023-08-18T08:30+01:00, 2023-08-18T08:30+01:00, 21.8295
0.294, 2023-08-18T09:00+01:00, 2023-08-18T09:00+01:00, 19.6245
0.328, 2023-08-18T09:30+01:00, 2023-08-18T09:30+01:00, 20.727
